CAD Event Number,Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat,Blurred_Longitude,Blurred_Latitude
2023000319821,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,BURN - RECKLESS BURNING,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,11/04/2023 6:08:26 PM,11/04/2023 6:51:06 PM,EAST,CHARLIE,C3,-122.28112,47.6176603
2023000154966,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - REQUEST TO WATCH,06/04/2023 4:18:15 PM,06/04/2023 4:18:15 PM,EAST,CHARLIE,C3,-122.28112,47.6176603
2023000356986,ASSISTANCE RENDERED,911,3,PROPERTY - DAMAGE,--PROPERTY DEST (DAMG),12/12/2023 4:06:49 PM,12/12/2023 7:04:57 PM,EAST,CHARLIE,C3,-122.2811368,47.61705037
2019000026022,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,01/20/2019 7:42:04 AM,01/20/2019 7:42:04 AM,EAST,CHARLIE,C3,-122.2811368,47.61705037
2023000282667,NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,"LEWD -  (EXPOSING, FLASHING)",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,09/29/2023 5:55:45 PM,,EAST,CHARLIE,C3,-122.2811368,47.61705037
2019000195967,ASSISTANCE RENDERED,911,3,SERVICE - WELFARE CHECK,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),05/30/2019 8:44:28 PM,,EAST,CHARLIE,C3,-122.2811368,47.61705036
2021000208509,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"LEWD -  (EXPOSING, FLASHING)",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,08/12/2021 8:31:13 AM,08/12/2021 9:00:03 AM,EAST,CHARLIE,C3,-122.2811368,47.61705036
2022000208159,NO POLICE ACTION POSSIBLE OR NECESSARY,911,5,TRU - MVC - HIT AND RUN,--TRAFFIC - MV COLLISION INVESTIGATION,08/08/2022 11:47:13 AM,08/08/2022 1:47:21 PM,EAST,CHARLIE,C3,-122.2811368,47.61705036
2021000180458,ASSISTANCE RENDERED,911,2,SEX IN PUBLIC PLACE (INCL MASTURBATION),--DISTURBANCE - OTHER,07/16/2021 1:39:18 PM,07/16/2021 1:58:52 PM,EAST,CHARLIE,C3,-122.2811368,47.61705036
2018000255841,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--ALARM-RESIDENTIAL BURG,07/12/2018 11:43:53 AM,07/12/2018 12:52:47 PM,EAST,CHARLIE,C3,-122.2811368,47.61705036
2020000160225,ORAL WARNING GIVEN,"TELEPHONE OTHER, NOT 911",2,"LEWD -  (EXPOSING, FLASHING)",--DISTURBANCE - NOISE,05/15/2020 11:48:58 AM,05/15/2020 12:01:51 PM,EAST,CHARLIE,C3,-122.2811368,47.61705036
2021000119005,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",5,TRU - SEX IN PUBLIC,--SEX OFFENSES (NON-RAPE) - LEWD CONDUCT,05/15/2021 1:25:10 PM,05/15/2021 3:18:34 PM,EAST,CHARLIE,C3,-122.2811368,47.61705036
2018000290319,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",5,TRU - MVC - HIT AND RUN,--TRAFFIC - MV COLLISION INVESTIGATION,08/05/2018 7:00:36 PM,08/05/2018 7:36:43 PM,EAST,CHARLIE,C3,-122.2811368,47.61705036
2018000170768,ORAL WARNING GIVEN,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,05/13/2018 12:00:38 PM,05/13/2018 12:00:38 PM,EAST,CHARLIE,C3,-122.2811368,47.61705036
