CAD Event Number,Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat,Blurred_Longitude,Blurred_Latitude
2011000272829,ASSISTANCE RENDERED,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,08/19/2011 09:16:27 PM,08/19/2011 09:16:27 PM,EAST,CHARLIE,C2,-122.28749063,47.62937069
2014000063173,REPORT WRITTEN (NO ARREST),911,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - CAR PROWL,02/28/2014 09:14:05 AM,02/28/2014 09:36:59 AM,EAST,CHARLIE,C2,-122.28798073,47.62983275
2019000438098,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,CUSTODIAL INTERFERENCE - DV,"--DV - ARGUMENTS, DISTURBANCE (NO ARREST)",11/25/2019 08:32:16 AM,11/25/2019 08:47:37 AM,EAST,CHARLIE,C2,-122.28798073,47.62983275
2023000233550,NO POLICE ACTION POSSIBLE OR NECESSARY,911,3,DISTURBANCE,--DISTURBANCE - OTHER,08/14/2023 08:38:19 PM,,EAST,CHARLIE,C2,-122.28749062,47.62937069
2020000204833,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,JUVENILE - RUNAWAY,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),07/04/2020 10:48:12 PM,07/04/2020 11:50:36 PM,EAST,CHARLIE,C2,-122.28798073,47.62983275
2016000098539,ASSISTANCE RENDERED,ONVIEW,4,REQUEST TO WATCH,--PREMISE CHECKS - REQUEST TO WATCH,03/21/2016 11:54:11 AM,03/21/2016 11:54:11 AM,EAST,CHARLIE,C2,-122.28798072,47.62983275
2022000233133,ASSISTANCE RENDERED,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - ASSIST MOTORIST,09/01/2022 09:44:51 PM,09/01/2022 09:44:51 PM,EAST,CHARLIE,C2,-122.28749063,47.62937069
2010000328116,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,09/19/2010 04:04:09 AM,09/19/2010 04:04:09 AM,EAST,CHARLIE,C2,-122.28749063,47.62937069
2014000307598,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,ROBBERY (INCL STRONG ARM),--ROBBERY - STRONG ARM,09/14/2014 09:57:35 AM,,EAST,CHARLIE,C2,-122.28798073,47.62983275
2015000367039,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - CAR PROWL,10/20/2015 09:42:52 AM,10/20/2015 10:14:21 AM,EAST,CHARLIE,C2,-122.28798073,47.62983275
