"CAD.Event.Number","Event.Clearance.Description","Call.Type","Priority","Initial.Call.Type","Final.Call.Type","Incident.Date","Blurred_Longitude","Blurred_Latitude","broad_category"
2024000109132,"ASSISTANCE RENDERED","911",3,"PERSON IN BEHAVIORAL/EMOTIONAL CRISIS","DISTURBANCE - OTHER",2024-04-22,-122.28099815,47.62005728,"disturbance"
2024000098483,"ASSISTANCE RENDERED","911",1,"SHOTS HEARD - IN PROGRESS","DISTURBANCE - OTHER",2024-04-11,-122.2817288,47.61705184,"violence"
2024000077412,"NO POLICE ACTION POSSIBLE OR NECESSARY","911",2,"LEWD -  (EXPOSING, FLASHING)","MISCHIEF OR NUISANCE - GENERAL",2024-03-21,-122.28158946,47.62010535,"lewd"
2024000075724,"ASSISTANCE RENDERED","911",5,"TRU - SUSPICIOUS CIRCUMSTANCES","ASSIST PUBLIC - OTHER (NON-SPECIFIED)",2024-03-19,-122.28433848,47.62343866,"suspicious"
2024000071796,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",3,"DISTURBANCE","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2024-03-15,-122.28099815,47.62005728,"disturbance"
2024000071436,"REPORT WRITTEN (NO ARREST)","911",2,"DISTURBANCE","PROWLER - TRESPASS",2024-03-15,-122.28099815,47.62005728,"disturbance"
2024000070407,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","TELEPHONE OTHER, NOT 911",3,"LEWD -  (EXPOSING, FLASHING)","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2024-03-14,-122.28099815,47.62005728,"lewd"
2024000068855,"NO POLICE ACTION POSSIBLE OR NECESSARY","TELEPHONE OTHER, NOT 911",2,"LEWD -  (EXPOSING, FLASHING)","SEX OFFENSES (NON-RAPE) - LEWD CONDUCT",2024-03-12,-122.2816141,47.6176553,"lewd"
2024000063803,"ORAL WARNING GIVEN","911",2,"SEX IN PUBLIC PLACE (INCL MASTURBATION)","SEX OFFENSES (NON-RAPE) - LEWD CONDUCT",2024-03-07,-122.28158946,47.62010535,"lewd"
2024000055649,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",5,"TRU - THEFT","THEFT - CAR PROWL",2024-02-27,-122.28166646,47.62081671,"theft"
2024000049237,"ASSISTANCE RENDERED","911",5,"TRU - THEFT","DISTURBANCE - OTHER",2024-02-21,-122.28168208,47.61881546,"theft"
2024000049016,"REPORT WRITTEN (NO ARREST)","ONVIEW",3,"AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY","AUTOMOBILES - AUTO THEFT",2024-02-21,-122.28336596,47.61837239,"theft"
2024000047469,"ASSISTANCE RENDERED","911",2,"SEX IN PUBLIC PLACE (INCL MASTURBATION)","SEX OFFENSES (NON-RAPE) - LEWD CONDUCT",2024-02-19,-122.28158946,47.62010535,"lewd"
2024000023546,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY","THEFT - ALL OTHER",2024-01-25,-122.28500552,47.62054,"theft"
2024000004877,"DUPLICATED OR CANCELLED BY RADIO","911",2,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",2024-01-06,-122.28322244,47.61703226,"suspicious"
2023000356986,"ASSISTANCE RENDERED","911",3,"PROPERTY - DAMAGE","PROPERTY DEST (DAMG)",2023-12-12,-122.28113679,47.61705037,"prop.dmg"
2023000348764,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",5,"TRU - PROPERTY DESTRUCTION/DAMAGE","PROWLER - GENERAL",2023-12-04,-122.2826444,47.61703071,"prop.dmg"
2023000348484,"REPORT WRITTEN (NO ARREST)","911",2,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-12-04,-122.28158947,47.62010535,"suspicious"
2023000345819,"ORAL WARNING GIVEN","911",2,"SEX IN PUBLIC PLACE (INCL MASTURBATION)","SEX OFFENSES (NON-RAPE) - LEWD CONDUCT",2023-12-01,-122.28158947,47.62010535,"lewd"
2023000343912,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"LEWD -  (EXPOSING, FLASHING)","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-11-29,-122.28158947,47.62010535,"lewd"
2023000319821,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"BURN - RECKLESS BURNING","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-11-04,-122.28112004,47.6176603,"disturbance"
2023000296959,"ASSISTANCE RENDERED","911",2,"LEWD -  (EXPOSING, FLASHING)","DISTURBANCE - OTHER",2023-10-13,-122.28158947,47.62010535,"lewd"
2023000294809,"REPORT WRITTEN (NO ARREST)","911",5,"TRU - SUSPICIOUS CIRCUMSTANCES","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-10-11,-122.28263617,47.61760743,"suspicious"
2023000282629,"ASSISTANCE RENDERED","911",2,"LEWD -  (EXPOSING, FLASHING)","SEX OFFENSES (NON-RAPE) - LEWD CONDUCT",2023-09-29,-122.2816141,47.6176553,"lewd"
2023000268009,"NO POLICE ACTION POSSIBLE OR NECESSARY","911",2,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-09-15,-122.2816141,47.6176553,"suspicious"
2023000261662,"CITATION ISSUED (CRIMINAL OR NON-CRIMINAL)","ONVIEW",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2023-09-09,-122.28090202,47.6203204,"traffic"
2023000259888,"ASSISTANCE RENDERED","911",2,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-09-08,-122.28458552,47.61703719,"suspicious"
2023000245099,"ASSISTANCE RENDERED","911",2,"THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING)","DISTURBANCE - OTHER",2023-08-25,-122.28168542,47.62024854,"disturbance"
2023000243449,"PHYSICAL ARREST MADE","911",1,"ASLT - CRITICAL (NO SHOOTINGS)","ASSAULTS, OTHER",2023-08-23,-122.28158947,47.62010535,"violence"
2023000236635,"CITATION ISSUED (CRIMINAL OR NON-CRIMINAL)","ONVIEW",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2023-08-17,-122.28158947,47.62010535,"traffic"
2023000235543,"CITATION ISSUED (CRIMINAL OR NON-CRIMINAL)","ONVIEW",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2023-08-16,-122.28158947,47.62010535,"traffic"
2023000234347,"CITATION ISSUED (CRIMINAL OR NON-CRIMINAL)","ONVIEW",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2023-08-15,-122.28168209,47.61881546,"traffic"
2023000230844,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS)","THEFT - ALL OTHER",2023-08-12,-122.28158947,47.62010535,"theft"
