"CAD.Event.Number","Event.Clearance.Description","Call.Type","Priority","Initial.Call.Type","Final.Call.Type","Incident.Date","Blurred_Longitude","Blurred_Latitude","broad_category"
2024000131882,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY","AUTOMOBILES - AUTO THEFT",2024-05-15,-122.28715964,47.61099714,"theft"
2024000126846,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",2,"BIAS","ASSAULTS - HARASSMENT, THREATS",2024-05-10,-122.28603116,47.6121097,"disturbance"
2024000126229,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",3,"DISTURBANCE","DISTURBANCE - OTHER",2024-05-09,-122.28198511,47.61206168,"disturbance"
2024000113647,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",3,"PERSON IN BEHAVIORAL/EMOTIONAL CRISIS","ASSIST PUBLIC - OTHER (NON-SPECIFIED)",2024-04-26,-122.28198511,47.61206168,"disturbance"
2024000077755,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","TELEPHONE OTHER, NOT 911",5,"TRU - THEFT","THEFT - ALL OTHER",2024-03-21,-122.28603116,47.6121097,"theft"
2024000044123,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",1,"ASLT - MOLESTED ADULT (GROPED, FONDLED, ETC.)","SEX OFFENSES (RAPE) - MOLESTING",2024-02-16,-122.28198511,47.61206168,"violence"
2023000340135,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"DISTURBANCE","DISTURBANCE - OTHER",2023-11-25,-122.28198512,47.61206168,"disturbance"
2023000327498,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-11-12,-122.28198512,47.61206168,"suspicious"
2023000310050,"REPORT WRITTEN (NO ARREST)","911",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","CRISIS COMPLAINT - GENERAL",2023-10-26,-122.28302061,47.6119038,"suspicious"
2023000310268,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"TRAFFIC - BLOCKING ROADWAY","TRAFFIC - BLOCKING TRAFFIC",2023-10-26,-122.28198512,47.61206168,"traffic"
2023000307883,"REPORT WRITTEN (NO ARREST)","911",2,"THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS)","THEFT - CAR PROWL",2023-10-24,-122.28302061,47.6119038,"theft"
2023000305293,"REPORT WRITTEN (NO ARREST)","911",5,"TRU - DISTURBANCE","DISTURBANCE - OTHER",2023-10-21,-122.28609484,47.60922076,"disturbance"
